Id,Neighborhood,GarageType,GarageArea,GarageCars,HouseStyle,YearBuilt,Heating,PoolArea,SalePrice
420,NAmes,Attchd,304,1,1Story,1968,GasA,0,142000
421,Mitchel,Attchd,784,4,SFoyer,1997,GasA,0,206300
422,NWAmes,Attchd,529,2,1Story,1977,GasA,0,215000
423,Mitchel,Attchd,520,2,1Story,1954,GasA,0,113000
424,NoRidge,Attchd,696,3,2Story,1998,GasA,0,315000
425,NAmes,Attchd,297,1,1Story,1956,GasA,0,139000
426,OldTown,Detchd,240,1,2Story,1946,GasA,0,135000
427,SawyerW,Attchd,569,2,SLvl,1989,GasA,0,275000
428,NAmes,Detchd,352,1,1Story,1957,GasA,0,109008
429,CollgCr,Attchd,628,2,1Story,2007,GasA,0,195400
430,Timber,Attchd,576,2,1Story,1988,GasA,0,175000
431,BrDale,Detchd,264,1,2Story,1971,GasA,0,85400
432,OldTown,None,0,0,1.5Fin,1920,GasA,0,79900
433,BrDale,Detchd,440,2,2Story,1971,GasA,0,122500
434,Gilbert,Attchd,470,2,2Story,1997,GasA,0,181000
435,MeadowV,None,0,0,SFoyer,1972,GasA,0,81000
436,CollgCr,Attchd,550,2,2Story,1996,GasA,0,212000
437,OldTown,Detchd,440,2,1.5Fin,1920,GasA,0,116000
438,BrkSide,Detchd,180,1,1.5Unf,1926,GasA,0,119000
439,Crawfor,Detchd,352,1,1Story,1913,GasA,0,90350
440,Edwards,Detchd,528,2,1.5Fin,1920,GasA,0,110000
441,NridgHt,Attchd,672,3,1Story,2008,GasA,0,555000
442,Edwards,None,0,0,1Story,1955,GasA,0,118000
443,BrkSide,Detchd,360,2,1.5Fin,1930,GasA,0,162900
444,Blmngtn,Attchd,648,3,1Story,2006,GasA,0,172500
445,CollgCr,Attchd,493,2,2Story,1994,GasA,0,210000
446,Edwards,Attchd,480,2,1Story,1956,GasA,0,127500
447,NAmes,Attchd,578,2,1Story,1966,GasA,0,190000
448,Gilbert,Attchd,431,2,2Story,1998,GasA,0,199900
449,IDOTRR,Detchd,198,1,1.5Fin,1937,GasA,0,119500
450,OldTown,Detchd,308,1,1.5Fin,1948,GasA,0,120000
451,OldTown,Detchd,270,1,1Story,1930,GasA,0,110000
452,ClearCr,Attchd,576,2,1Story,1975,GasA,0,280000
453,Timber,Attchd,422,2,2Story,1996,GasA,0,204000
454,Somerst,Attchd,676,2,2Story,2008,GasA,0,210000
455,Mitchel,Detchd,560,2,1Story,1976,GasA,0,188000
456,NWAmes,Attchd,528,2,1Story,1973,GasA,0,175500
457,OldTown,Detchd,513,3,2Story,1916,GasA,0,98000
458,ClearCr,Attchd,529,2,1Story,1954,GasA,0,256000
459,OldTown,Detchd,228,1,2Story,1925,GasA,0,161000
460,BrkSide,Detchd,352,1,1.5Fin,1950,GasA,0,110000
461,Somerst,BuiltIn,552,2,2Story,2009,GasA,0,263435
462,SWISU,Detchd,576,2,2Story,1936,GasA,0,155000
463,Sawyer,Detchd,360,1,1Story,1965,GasA,0,62383
464,Crawfor,Detchd,240,1,2Story,1934,GasA,0,188700
465,CollgCr,None,0,0,1Story,1978,GasA,0,124000
466,Blmngtn,Attchd,398,2,1Story,2004,GasA,0,178740
467,NAmes,Attchd,526,2,1Story,1970,GasA,0,167000
468,NAmes,Attchd,312,1,2Story,1942,GasA,0,146500
469,NridgHt,Attchd,866,3,1Story,2006,GasA,0,250000
470,SawyerW,Attchd,506,2,2Story,1993,GasA,0,187000
471,StoneBr,Attchd,528,2,1Story,1985,GasA,0,212000
472,NWAmes,Attchd,534,2,2Story,1977,GasA,0,190000
473,Edwards,Basment,525,2,SLvl,2005,GasA,0,148000
474,NridgHt,Attchd,908,3,1Story,2006,GasA,0,440000
475,StoneBr,Attchd,499,2,1Story,2000,GasA,0,251000
476,Sawyer,Detchd,624,2,1Story,1963,GasA,0,132500
477,CollgCr,Attchd,508,2,1Story,1997,GasA,0,208900
478,NridgHt,BuiltIn,694,3,2Story,2006,GasA,0,380000
479,CollgCr,Attchd,826,3,1Story,2007,GasA,0,297000
480,OldTown,Detchd,672,2,1Story,1937,GasA,0,89471
481,NridgHt,Attchd,772,3,1Story,2004,GasA,0,326000
482,NridgHt,Attchd,874,3,1Story,2003,GasA,0,374000
483,OldTown,Attchd,164,1,2Story,1915,GasA,0,155000
484,Mitchel,Attchd,402,2,1Story,1998,GasA,0,164000
485,Sawyer,Detchd,264,1,1Story,1962,GasA,0,132500
486,NAmes,Attchd,264,1,1Story,1950,GasA,0,147000
487,NAmes,Attchd,515,2,1Story,1965,GasA,0,156000
488,NWAmes,Attchd,487,2,1Story,1971,GasA,0,175000
489,OldTown,Attchd,520,2,1.5Fin,1900,GasA,0,160000
490,MeadowV,Attchd,286,1,SFoyer,1970,GasA,0,86000
491,MeadowV,BuiltIn,336,1,2Story,1976,GasA,0,115000
492,NAmes,Attchd,240,1,1.5Fin,1941,GasA,0,133000
493,Gilbert,Attchd,429,2,2Story,2006,GasA,0,172785
494,NAmes,Detchd,308,1,1Story,1960,GasA,0,155000
495,OldTown,Attchd,273,1,1Story,1938,GasA,0,91300
496,IDOTRR,None,0,0,1Story,1920,GasA,0,34900
497,NoRidge,Attchd,546,2,1Story,1992,GasA,0,430000
498,BrkSide,Detchd,240,1,1.5Fin,1925,GasA,0,184000
499,Sawyer,Attchd,288,1,1Story,1967,GasA,0,130000
500,NAmes,Attchd,297,1,1Story,1958,GasA,0,120000
501,BrDale,Detchd,264,1,2Story,1973,GasA,0,113000
502,Somerst,Attchd,603,2,2Story,2005,GasA,0,226700
503,Edwards,Detchd,461,2,1Story,1965,GasA,0,140000
504,Crawfor,Attchd,484,2,1Story,1959,GasA,0,289000
505,NPkVill,Attchd,440,2,2Story,1974,GasA,0,147000
506,OldTown,Detchd,400,2,2Story,1952,GasA,0,124500
507,SawyerW,Attchd,471,2,2Story,1993,GasA,0,215000
508,Somerst,Attchd,676,2,1Story,2009,GasA,0,208300
509,OldTown,Detchd,360,2,2Story,1928,GasA,0,161000
510,NAmes,Attchd,270,1,1Story,1959,GasA,0,124500
511,NAmes,CarPort,288,1,1Story,1951,GasA,0,164900
512,NridgHt,Attchd,474,2,1Story,2005,GasA,0,202665
513,NAmes,Detchd,624,2,1Story,1958,GasA,0,129900
514,Mitchel,Attchd,484,2,1Story,1983,GasA,0,134000
515,Crawfor,Detchd,200,1,1.5Unf,1926,Grav,0,96500
516,NridgHt,Attchd,900,3,1Story,2009,GasA,0,402861
517,NWAmes,Attchd,583,2,SLvl,1972,GasA,0,158000
518,NoRidge,Attchd,889,3,2Story,1996,GasA,0,265000
519,CollgCr,Attchd,546,2,2Story,1998,GasA,0,211000
520,Crawfor,Detchd,282,1,2Story,1926,GasA,0,234000
521,OldTown,None,0,0,2Story,1900,GasA,0,106250
522,NAmes,Attchd,336,1,1Story,1957,GasA,0,150000
523,BrkSide,Detchd,420,2,1.5Fin,1947,GasA,0,159000
524,Edwards,BuiltIn,884,3,2Story,2007,GasA,0,184750
525,NoRidge,Attchd,834,3,2Story,1996,GasA,0,315750
526,Somerst,Attchd,453,2,1Story,2005,GasA,0,176000
527,NAmes,Attchd,252,1,1Story,1956,GasA,0,132000
528,NridgHt,Attchd,858,3,2Story,2008,GasA,0,446261
529,Edwards,None,0,0,1Story,1920,GasA,0,86000
530,Crawfor,Attchd,484,2,1Story,1957,GasA,0,200624
531,Timber,Attchd,600,2,SLvl,1988,GasA,0,175000
532,BrkSide,Detchd,502,2,2Story,1920,GasA,0,128000
533,NAmes,Detchd,392,1,1Story,1955,GasA,0,107500
534,BrkSide,None,0,0,1Story,1946,GasA,0,39300
535,Gilbert,Attchd,403,2,2Story,2004,GasA,0,178000
536,Edwards,None,0,0,2Story,1910,GasA,0,107500
537,CollgCr,Attchd,527,2,2Story,1998,GasA,0,188000
538,NAmes,Detchd,576,2,1Story,1972,GasA,0,111250
539,Sawyer,Attchd,336,1,1Story,1968,GasA,0,158000
540,CollgCr,Attchd,670,2,1Story,2001,GasA,0,272000
541,Timber,Attchd,765,3,1Story,2006,GasA,0,315000
542,NoRidge,BuiltIn,648,3,2Story,2000,GasA,0,248000
543,NWAmes,Attchd,583,2,1Story,1998,GasA,0,213250
544,NAmes,Attchd,367,1,SFoyer,1998,GasA,0,133000
545,Gilbert,Attchd,426,2,2Story,2006,GasA,0,179665
546,NWAmes,Attchd,786,3,1.5Fin,1988,GasA,0,229000
547,BrkSide,Detchd,440,2,1.5Fin,1923,GasA,0,210000
548,Mitchel,Detchd,624,2,SFoyer,1970,GasA,0,129500
549,OldTown,Detchd,720,2,1Story,1955,GasA,0,125000
550,Somerst,BuiltIn,615,2,2Story,2003,GasA,0,263000
551,NPkVill,Attchd,440,2,1Story,1977,GasA,0,140000
552,OldTown,Attchd,288,1,1Story,1957,GasA,0,112500
553,NridgHt,Attchd,908,3,1Story,2006,GasA,0,255500
554,Edwards,Detchd,520,2,1Story,1949,GasA,0,108000
555,NridgHt,BuiltIn,871,3,2Story,2003,GasA,0,284000
556,BrkSide,Detchd,280,1,1.5Unf,1922,GasA,0,113000
557,NAmes,Attchd,299,1,1Story,1957,GasA,0,141000
558,IDOTRR,CarPort,570,1,1.5Fin,1920,GasA,0,108000
559,Gilbert,Attchd,406,2,2Story,1996,GasA,0,175000
560,Blmngtn,Attchd,420,2,1Story,2003,GasA,0,234000
561,Sawyer,Detchd,528,2,1Story,1957,GasA,0,121500
562,Mitchel,Attchd,418,2,1Story,1974,GasA,0,170000
563,Edwards,None,0,0,1Story,1940,GasA,0,108000
564,Edwards,Detchd,396,2,1.5Fin,1918,GasA,0,185000
565,NoRidge,Attchd,590,2,2Story,1992,GasA,0,268000
566,SWISU,Detchd,216,1,2Story,1915,GasA,0,128000
567,StoneBr,BuiltIn,656,3,2Story,2005,GasA,0,325000
568,NridgHt,Attchd,532,2,1Story,2004,GasA,0,214000
569,SawyerW,BuiltIn,612,2,1.5Fin,1983,GasA,0,316600
570,NAmes,Detchd,600,2,SFoyer,1979,GasA,0,135960
571,NAmes,Detchd,576,2,1Story,1965,GasA,0,142600
572,NAmes,Attchd,288,1,1Story,1959,GasA,0,120000
573,Timber,Attchd,650,2,2Story,2009,GasA,0,224500
574,Gilbert,BuiltIn,400,2,SLvl,2000,GasA,0,170000
575,NAmes,BuiltIn,288,1,SLvl,1971,GasA,0,139000
576,NAmes,Detchd,336,1,1.5Fin,1947,GasA,0,118500
577,SWISU,Detchd,216,1,1.5Fin,1928,GasA,0,145000
578,Sawyer,Attchd,564,2,SLvl,1966,GasA,0,164500
579,Somerst,Detchd,540,2,2Story,2007,GasA,0,146000
580,OldTown,Attchd,352,1,1.5Fin,1954,GasA,0,131500
581,NAmes,Attchd,572,2,1Story,1960,GasA,0,181900
582,NridgHt,Attchd,1390,3,1Story,2008,GasA,0,253293
583,Edwards,None,0,0,SFoyer,1990,GasA,0,118500
584,OldTown,Detchd,880,2,2.5Unf,1893,GasA,0,325000
585,BrkSide,Detchd,240,1,1.5Fin,1935,GasA,0,133000
586,Timber,Attchd,880,3,1Story,2005,GasA,0,369900
587,BrkSide,Detchd,275,1,1Story,1918,GasA,0,130000
588,Sawyer,Detchd,528,2,SFoyer,1982,GasA,0,137000
589,ClearCr,Attchd,452,1,1Story,1968,GasA,0,143000
590,BrkSide,Detchd,308,1,1Story,1930,GasA,0,79500
591,CollgCr,Attchd,520,2,2Story,2004,GasA,0,185900
592,NridgHt,BuiltIn,842,3,2Story,2008,GasA,0,451950
593,Mitchel,Detchd,816,2,1Story,1982,GasA,0,138000
594,CollgCr,Attchd,420,2,1Story,2003,GasA,0,140000
595,CollgCr,Detchd,280,1,1Story,1975,GasA,0,110000
596,StoneBr,Attchd,758,3,1Story,2005,GasA,0,319000
597,OldTown,Detchd,216,1,2Story,1910,GasA,0,114504
598,Blmngtn,Attchd,648,3,1Story,2006,GasA,0,194201
599,Crawfor,Attchd,621,2,1Story,1977,GasA,0,217500
600,Blueste,Attchd,452,2,2Story,1980,GasA,0,151000
601,NridgHt,BuiltIn,736,2,2Story,2005,GasA,0,275000
602,IDOTRR,Detchd,544,1,1.5Fin,1937,GasA,0,141000
603,SawyerW,Attchd,506,2,2Story,1992,GasA,0,220000
604,Somerst,Detchd,480,2,2Story,2004,GasA,0,151000
605,CollgCr,Attchd,530,2,1Story,2002,GasA,0,221000
606,NAmes,Attchd,486,2,2Story,1965,GasA,0,205000
607,CollgCr,Detchd,576,2,1Story,1996,GasA,0,152000
608,Edwards,Attchd,230,1,2Story,1948,GasA,0,225000
609,Crawfor,Basment,380,2,2Story,1934,GasA,0,359100
610,Sawyer,Attchd,261,1,1Story,1961,GasA,0,118500
611,CollgCr,Attchd,736,3,2Story,2000,GasA,0,313000
612,NWAmes,Attchd,564,2,SLvl,1978,GasA,0,148000
613,CollgCr,BuiltIn,531,2,2Story,2001,GasA,0,261500
614,Mitchel,None,0,0,1Story,2007,GasA,0,147000
615,MeadowV,None,0,0,SFoyer,1972,GasA,0,75500
616,NAmes,Attchd,480,2,SFoyer,1963,GasA,0,137500
617,Gilbert,Attchd,393,2,2Story,2002,GasA,0,183200
618,NAmes,Detchd,528,2,1.5Unf,1954,GasA,0,105500
619,NridgHt,Attchd,774,3,1Story,2007,GasA,0,314813
620,Timber,Attchd,749,3,2Story,2003,GasA,0,305000
621,Edwards,None,0,0,1Story,1914,GasA,0,67000
622,NWAmes,Attchd,624,2,2Story,1974,GasA,0,240000
623,Sawyer,Detchd,484,2,1Story,1977,GasA,0,135000
624,Somerst,Detchd,440,2,2Story,2000,GasA,0,168500
625,NWAmes,Attchd,484,2,2Story,1972,GasA,0,165150
626,NAmes,Attchd,440,2,1Story,1962,GasA,0,160000
627,NAmes,Attchd,286,1,1Story,1960,GasA,0,139900
628,NAmes,Basment,364,1,SLvl,1955,GasA,0,153000
629,NAmes,Attchd,504,2,2Story,1969,GasA,0,135000
630,NAmes,Attchd,520,2,SLvl,1964,GasA,0,168500
631,OldTown,Detchd,240,1,2Story,1880,GasA,0,124000
632,NridgHt,Attchd,627,2,1Story,2006,GasA,0,209500
633,NWAmes,Attchd,544,2,1Story,1977,GasA,0,82500
634,NAmes,Attchd,260,1,1Story,1954,GasA,0,139400
635,OldTown,Detchd,576,2,SFoyer,1980,GasA,0,144000
636,SWISU,None,0,0,2.5Fin,1914,GasA,0,200000
637,BrkSide,None,0,0,1Story,1936,Grav,0,60000
638,OldTown,BuiltIn,256,1,1.5Fin,1954,GasA,0,93000
639,Edwards,None,0,0,1Story,1910,GasA,0,85000
640,Blmngtn,Attchd,648,3,1Story,2006,GasA,0,264561
641,NridgHt,Attchd,588,2,1Story,2003,GasA,0,274000
642,Somerst,Attchd,650,2,2Story,2001,GasA,0,226000
643,NAmes,Attchd,538,2,SLvl,1972,GasA,0,345000
644,NWAmes,Attchd,462,2,2Story,1969,GasA,0,152000
645,Somerst,Attchd,478,3,1Story,2009,GasA,0,370878
646,NAmes,Detchd,576,2,1Story,1971,GasA,0,143250
647,NAmes,Detchd,420,2,1Story,1950,GasA,0,98300
648,Edwards,Attchd,495,2,1Story,1953,GasA,0,155000
649,NAmes,Attchd,442,2,2Story,1966,GasA,0,155000
650,MeadowV,None,0,0,SFoyer,1970,GasA,0,84500
651,Somerst,Attchd,562,2,2Story,2007,GasA,0,205950
652,Edwards,Detchd,296,1,2Story,1940,GasA,0,108000
653,CollgCr,Attchd,512,2,2Story,1996,GasA,0,191000
654,IDOTRR,Detchd,216,1,1.5Fin,1906,GasA,0,135000
655,NoRidge,Attchd,839,3,1Story,1995,GasA,0,350000
656,BrDale,Detchd,264,1,2Story,1971,GasA,0,88000
657,NAmes,Attchd,312,1,1Story,1959,GasA,0,145500
658,Crawfor,Attchd,270,1,2Story,1931,GasA,0,149000
659,NAmes,Attchd,330,1,1.5Fin,1948,GasA,0,97500
660,Edwards,Detchd,480,2,1Story,1964,GasA,0,167000
661,NWAmes,Attchd,550,2,2Story,1976,GasA,0,197900
662,NoRidge,Attchd,711,3,2Story,1994,GasA,0,402000
663,NAmes,Attchd,576,2,1Story,1968,GasA,0,110000
664,Edwards,Detchd,588,2,SFoyer,1972,GasA,0,137500
665,Somerst,Attchd,1134,3,1Story,2005,GasA,0,423000
666,Gilbert,Attchd,504,2,2Story,2000,GasA,0,230500
667,NAmes,CarPort,596,2,2Story,1965,GasA,0,129000
668,SawyerW,Attchd,575,2,1Story,1994,GasA,0,193500
669,Sawyer,Detchd,576,2,1Story,1956,GasA,0,168000
670,Crawfor,Detchd,252,1,1Story,1922,GasA,0,137500
671,CollgCr,Attchd,540,2,2Story,2005,GasA,0,173500
672,Edwards,Detchd,300,1,2Story,1925,GasA,0,103600
673,Veenker,Attchd,546,2,1Story,1977,GasA,0,165000
674,Crawfor,Attchd,416,2,1Story,1957,GasA,0,257500
675,NAmes,Attchd,384,1,1Story,1965,GasA,0,140000
676,NPkVill,Attchd,440,2,2Story,1978,GasA,0,148500
677,OldTown,2Types,779,3,2Story,1900,GasW,0,87000
678,OldTown,Detchd,240,1,1Story,1924,GasA,0,109500
679,StoneBr,Attchd,834,3,1Story,2008,GasA,0,372500
680,Sawyer,Detchd,572,2,1Story,1961,GasA,0,128500
681,SawyerW,Attchd,264,1,1Story,1980,GasA,0,143000
682,SWISU,Detchd,281,1,1.5Fin,1932,GasA,0,159434
683,ClearCr,Attchd,431,2,1Story,1996,GasA,0,173000
684,CollgCr,Attchd,702,3,1Story,2002,GasA,0,285000
685,NoRidge,Attchd,486,2,2Story,1998,GasA,0,221000
686,StoneBr,Attchd,577,2,2Story,1984,GasA,0,207500
687,Somerst,Attchd,578,2,2Story,2007,GasA,0,227875
688,Somerst,Detchd,480,2,2Story,2004,GasA,0,148800
689,StoneBr,Attchd,567,2,1Story,2007,GasA,0,392000
690,NridgHt,Attchd,460,2,1Story,2005,GasA,0,194700
691,CollgCr,Attchd,420,2,1Story,2004,GasA,0,141000
692,NoRidge,Attchd,832,3,2Story,1994,GasA,0,755000
693,Timber,Attchd,628,2,2Story,1989,GasA,0,335000
694,OldTown,Detchd,326,1,1Story,1921,GasA,0,108480
695,BrkSide,Detchd,576,2,1.5Fin,1936,GasA,0,141500
696,Timber,Attchd,551,2,1Story,1987,GasA,0,176000
697,BrkSide,Detchd,205,1,1Story,1921,GasA,0,89000
698,Edwards,Detchd,308,1,1Story,1952,GasA,0,123500
699,Sawyer,Detchd,336,1,1Story,1965,GasA,0,138500
700,Somerst,Attchd,530,2,1Story,2004,GasA,0,196000
701,Timber,Attchd,765,3,1Story,2002,GasA,0,312500
702,NWAmes,Attchd,528,2,1Story,1969,GasA,0,140000
703,StoneBr,BuiltIn,666,3,2Story,2006,GasA,0,361919
704,OldTown,Detchd,672,2,2Story,1900,GasA,0,140000
705,CollgCr,Attchd,606,2,1Story,2004,GasA,0,213000
706,IDOTRR,None,0,0,2Story,1930,GasA,0,55000
707,ClearCr,Attchd,739,2,1Story,1971,GasA,0,302000
708,NridgHt,Attchd,550,2,1Story,2006,GasA,0,254000
709,Gilbert,Attchd,400,2,2Story,2007,GasA,0,179540
710,Sawyer,Attchd,408,1,1Story,1966,GasA,0,109900
711,BrkSide,None,0,0,1Story,1935,GasA,0,52000
712,IDOTRR,Detchd,384,1,1.5Fin,1900,GasA,0,102776
713,StoneBr,Attchd,472,2,1Story,1988,GasA,0,189000
714,BrkSide,Detchd,576,2,1Story,1970,GasW,0,129000
715,Sawyer,Attchd,475,2,2Story,1976,GasA,0,130500
716,NWAmes,Attchd,478,2,1Story,1974,GasA,0,165000
717,OldTown,Detchd,704,2,2Story,1890,GasA,0,159500
718,NWAmes,Attchd,439,2,1Story,1973,GasA,0,157000
719,NoRidge,Attchd,983,3,2Story,1993,GasA,0,341000
720,CollgCr,Attchd,300,1,1Story,1969,GasA,0,128500
721,StoneBr,Attchd,564,2,1Story,1985,GasA,0,275000
722,CollgCr,Attchd,420,2,1Story,2004,GasA,0,143000
723,NAmes,Detchd,463,2,1Story,1970,GasA,0,124500
724,Edwards,Detchd,548,1,1.5Fin,1954,GasA,0,135000
725,Edwards,Attchd,768,3,1Story,2007,GasA,0,320000
726,NAmes,Detchd,660,2,1Story,1970,GasA,0,120500
727,Crawfor,Attchd,540,2,1Story,1988,GasA,0,222000
728,CollgCr,Attchd,632,2,1Story,2007,GasA,0,194500
729,NAmes,Detchd,888,3,1Story,1958,GasA,0,110000
730,IDOTRR,Detchd,539,2,1.5Fin,1925,GasA,0,103000
731,StoneBr,Attchd,608,2,1Story,1995,GasA,0,236500
732,Timber,Attchd,438,2,SLvl,2003,GasA,0,187500
733,CollgCr,Attchd,541,2,2Story,1998,GasA,0,222500
734,Sawyer,Attchd,264,1,1Story,1961,GasA,0,131400
735,Sawyer,Attchd,300,1,1Story,1968,GasA,0,108000
736,OldTown,Detchd,320,2,2.5Unf,1914,GasW,0,163000
737,NAmes,Detchd,400,2,1Story,1950,GasA,0,93500
738,Gilbert,Attchd,800,3,2Story,2005,GasA,0,239900
739,Edwards,None,0,0,1Story,1987,GasA,0,179000
740,CollgCr,Attchd,572,2,2Story,2004,GasA,0,190000
741,OldTown,Detchd,360,2,2Story,1910,GasA,0,132000
742,Sawyer,Detchd,288,1,1Story,1961,GasA,0,142000
743,SawyerW,Attchd,539,2,1Story,2000,GasA,0,179000
744,Sawyer,Attchd,480,2,SLvl,1963,GasA,0,175000
745,StoneBr,Attchd,462,2,1Story,1993,GasA,0,180000
746,NWAmes,BuiltIn,831,2,2Story,1976,GasA,0,299800
747,Gilbert,BuiltIn,554,2,2Story,2000,GasA,0,236000
748,OldTown,Detchd,864,4,2Story,1880,GasW,0,265979
749,NoRidge,Attchd,527,2,1Story,1996,GasA,0,260400
750,Edwards,Detchd,240,1,1.5Fin,1945,Wall,0,98000
751,OldTown,None,0,0,1.5Fin,1910,GasA,0,96500
752,Gilbert,Attchd,400,2,2Story,2003,GasA,0,162000
753,CollgCr,Attchd,576,2,1Story,1997,GasA,0,217000
754,NridgHt,Attchd,878,3,2Story,2005,GasA,0,275500
755,NAmes,Detchd,440,2,1Story,1969,GasA,0,156000
756,Somerst,Detchd,440,2,2Story,1999,GasA,0,172500
757,CollgCr,Attchd,578,2,2Story,2007,GasA,0,212000
758,Sawyer,Attchd,440,2,2Story,1978,GasA,0,158900
759,Somerst,Detchd,440,2,2Story,1999,GasA,0,179400
760,NoRidge,Attchd,752,3,2Story,1995,GasA,0,290000
761,NAmes,Detchd,300,1,1Story,1959,GasA,0,127500
762,BrkSide,Detchd,440,2,1Story,1924,GasA,0,100000
763,Somerst,Attchd,614,2,2Story,2009,GasA,0,215200
764,NoRidge,Attchd,856,3,2Story,1999,GasA,0,337000
765,Veenker,Attchd,481,2,1Story,1995,GasA,0,270000
766,Somerst,Attchd,592,2,1Story,2008,GasA,0,264132
767,NWAmes,Attchd,496,2,2Story,1988,GasA,0,196500
768,Mitchel,Attchd,423,1,1.5Fin,1940,GasA,0,160000
769,CollgCr,Attchd,484,2,1Story,2004,GasA,0,216837
770,StoneBr,BuiltIn,841,3,2Story,2003,GasA,0,538000
771,Sawyer,Detchd,576,2,SFoyer,1982,GasA,0,134900
772,Edwards,Detchd,396,2,1Story,1951,GasA,0,102000
773,Edwards,Detchd,672,2,SLvl,1976,GasA,0,107000
774,NAmes,Attchd,275,1,1Story,1958,GasA,0,114500
775,NridgHt,Attchd,895,3,1Story,2006,GasA,0,395000
776,Mitchel,Attchd,412,2,1Story,1998,GasA,0,162000
777,CollgCr,Attchd,865,3,1Story,2005,GasA,0,221500
778,Sawyer,Attchd,440,2,1Story,1974,GasA,0,142500
779,SawyerW,Detchd,630,2,1Story,1977,GasA,0,144000
780,Mitchel,Attchd,504,2,SFoyer,1977,GasA,0,135000
781,Gilbert,Attchd,402,2,1Story,1995,GasA,0,176000
782,SawyerW,Attchd,484,2,2Story,1992,GasA,0,175900
783,CollgCr,Attchd,605,2,1Story,2001,GasA,0,187100
784,Mitchel,Attchd,602,2,SFoyer,1978,GasA,0,165500
785,OldTown,None,0,0,2.5Unf,1914,GasA,0,128000
786,NWAmes,Attchd,457,2,1Story,1967,GasA,0,161500
787,OldTown,Detchd,416,1,1.5Fin,1915,GasA,0,139000
788,SawyerW,BuiltIn,618,2,2Story,2004,GasA,0,233000
789,OldTown,Detchd,281,1,1Story,1954,GasA,0,107900
790,ClearCr,Attchd,444,2,2Story,1966,GasA,0,187500
791,Blmngtn,Attchd,397,2,1Story,2005,GasA,0,160200
792,Mitchel,Attchd,539,2,SLvl,1976,GasA,0,146800
793,NoRidge,Attchd,455,2,2Story,1996,GasA,0,269790
794,Somerst,Attchd,474,2,1Story,2007,GasA,0,225000
795,Gilbert,Attchd,409,2,2Story,1994,GasA,0,194500
796,SawyerW,Attchd,476,2,2Story,1980,GasA,0,171000
797,Sawyer,Attchd,528,2,1Story,1977,GasA,0,143500
798,NAmes,Attchd,240,1,1Story,1953,GasA,0,110000
799,NridgHt,BuiltIn,820,3,2Story,2008,GasA,0,485000
800,SWISU,Detchd,240,1,1.5Fin,1937,GasA,0,175000
801,ClearCr,Attchd,603,2,2Story,1997,GasA,0,200000
802,IDOTRR,Detchd,440,2,1Story,1916,GasA,0,109900
803,CollgCr,Attchd,410,2,2Story,2005,GasA,0,189000
804,NridgHt,BuiltIn,1020,3,2Story,2008,GasA,0,582933
805,NAmes,Attchd,286,1,1Story,1954,GasA,0,118000
806,Somerst,Attchd,554,2,1Story,2008,GasA,0,227680
807,NAmes,Attchd,384,1,SLvl,1967,GasA,0,135500
808,BrkSide,Attchd,528,2,2Story,1923,GasA,0,223500
809,NAmes,Attchd,484,2,SLvl,1966,GasA,0,159950
810,OldTown,Detchd,360,2,2.5Unf,1898,GasA,0,106000
811,NWAmes,Attchd,484,2,1Story,1974,GasA,648,181000
812,CollgCr,Attchd,420,2,1Story,2004,GasA,0,144500
813,IDOTRR,Basment,504,2,1Story,1952,GasA,0,55993
814,NAmes,Attchd,301,1,1Story,1958,GasA,0,157900
815,Edwards,Detchd,280,1,1.5Fin,1918,GasW,0,116000
816,CollgCr,Attchd,598,2,1Story,1998,GasA,0,224900
817,NAmes,Attchd,275,1,1Story,1954,GasA,0,137000
818,Mitchel,Attchd,857,3,1Story,2002,GasA,0,271000
819,ClearCr,Attchd,440,2,SLvl,1971,GasA,0,155000
820,NridgHt,Attchd,484,2,1Story,2009,GasA,0,224000
821,CollgCr,Attchd,595,2,2Story,2003,GasA,0,183000
822,OldTown,Detchd,576,2,1Story,1953,GasA,0,93000
823,Gilbert,BuiltIn,433,2,2Story,2003,GasA,0,225000
824,SWISU,Detchd,240,1,1.5Fin,1940,GasA,0,139500
825,Somerst,Attchd,776,2,1Story,2006,GasA,0,232600
826,NridgHt,Attchd,1220,3,1Story,2007,GasA,0,385000
827,BrkSide,None,0,0,1.5Unf,1924,GasA,0,109500
828,SawyerW,Attchd,527,2,1Story,2001,GasA,0,189000
829,ClearCr,Attchd,538,2,2Story,1967,GasA,0,185000
830,Somerst,Detchd,480,2,2Story,2005,GasA,0,147400
831,NAmes,Attchd,458,2,1Story,1957,GasA,0,166000
832,Somerst,Detchd,480,2,2Story,2005,GasA,0,151000
833,CollgCr,Attchd,613,2,2Story,2003,GasA,0,237000
834,NAmes,Attchd,472,2,1Story,1964,GasA,0,167000
835,NAmes,Attchd,456,2,1Story,1961,GasA,0,139950
836,Sawyer,Attchd,436,2,1Story,1950,GasA,0,128000
837,OldTown,Detchd,812,2,1Story,1948,GasA,0,153500
838,BrDale,Detchd,264,1,2Story,1973,GasA,0,100000
839,CollgCr,Attchd,352,1,1Story,1995,GasA,0,144000
840,Edwards,Detchd,240,1,1.5Fin,1946,GasA,0,130500
841,SWISU,Detchd,400,1,2Story,1925,GasA,0,140000
